station,date,obs,pred
물금,2025-08-18,20.7,20.6866397857666
밀양강4,2017-08-28,35.199999999999996,52.8741455078125
밀양강4,2018-02-19,5.6,8.481403350830078
밀양강4,2018-03-06,12.9,12.041529655456543
밀양강4,2018-03-26,5.6,10.881964683532715
밀양강4,2018-07-24,55.499999999999986,26.69392967224121
밀양강4,2020-02-04,4.1,6.6520609855651855
밀양강4,2020-04-14,14.399999999999999,17.931976318359375
밀양강4,2020-11-10,10.199999999999998,8.401494026184082
밀양강4,2021-01-19,84.29999999999998,42.31341552734375
밀양강4,2021-11-15,22.7,14.118433952331543
밀양강4,2022-04-04,19.499999999999996,28.405824661254883
밀양강4,2023-01-19,9.699999999999998,8.145298957824707
밀양강4,2023-02-08,12.300000000000002,15.577310562133789
밀양강4,2023-11-15,2.8,8.42459487915039
밀양강4,2024-05-13,5.9,7.8079915046691895
밀양강4,2024-09-10,20.4,39.63958740234375
밀양강4,2024-09-25,1.9,23.494741439819336
밀양강4,2024-12-04,7.300000000000001,7.960183620452881
밀양강4,2025-01-13,9.9,12.997390747070312
밀양강4,2025-08-18,37.599999999999994,45.53661346435547
북면,2018-01-15,14.899999999999997,24.511985778808594
북면,2018-03-06,30.89999999999999,40.53826141357422
북면,2018-03-26,38.699999999999996,16.015121459960938
북면,2018-07-24,34.4,29.406606674194336
북면,2019-09-17,53.3,35.93341064453125
북면,2019-10-22,15.0,16.731760025024414
북면,2020-02-04,36.099999999999994,28.385318756103516
북면,2020-04-14,11.1,9.898011207580566
북면,2020-06-23,34.099999999999994,35.21499252319336
북면,2020-11-10,4.0,10.27199649810791
북면,2021-01-19,18.2,21.518779754638672
북면,2021-11-15,10.6,10.075873374938965
북면,2022-03-15,7.400000000000001,11.151751518249512
북면,2022-04-04,30.099999999999998,33.100433349609375
북면,2023-01-19,13.7,8.838422775268555
북면,2023-02-08,13.0,12.46435546875
북면,2023-11-15,24.3,27.628629684448242
북면,2024-11-19,18.1,11.684383392333984
북면,2025-03-19,17.100000000000005,10.618109703063965
성주,2017-09-12,21.4,34.90742111206055
성주,2018-05-15,12.4,21.76543617248535
성주,2019-01-15,11.1,14.707124710083008
성주,2020-04-14,19.4,32.85722351074219
성주,2020-11-10,4.6,7.365763187408447
성주,2021-03-10,23.200000000000003,24.936084747314453
성주,2023-05-09,2.0,8.65403938293457
성주,2023-10-11,42.099999999999994,26.437679290771484
성주,2024-09-10,44.199999999999996,28.453683853149414
왜관,2016-11-01,66.10000000000002,43.84355545043945
왜관,2017-04-10,16.400000000000002,16.877662658691406
왜관,2017-09-12,11.9,12.038141250610352
왜관,2018-01-15,13.999999999999996,10.11484146118164
왜관,2018-03-06,22.900000000000002,30.979305267333984
왜관,2018-03-26,24.200000000000003,18.50875473022461
왜관,2018-06-04,14.299999999999999,18.23868751525879
왜관,2018-08-13,25.100000000000005,22.496971130371094
왜관,2018-11-26,48.2,28.41725730895996
왜관,2019-04-15,14.299999999999999,17.544897079467773
왜관,2019-12-16,69.00000000000001,65.02124786376953
왜관,2020-06-08,7.499999999999999,9.134148597717285
